SKU,Project Name,,Project Name Bank,Generated Feb Dashboard?,,Fixed UPS Pricing (Int.),Fixed UPS Pricing (Dom.),,,
MM-Tumbler-DK-Red,MM MISCELLANEOUS,,2CCX LINCHPIN,TRUE,,TRUE,TRUE,MISSING SKU,CF Foam Logo Block,MISCELLANEOUS
MM-Notecard-TY-BootCamp-2024,MM MISCELLANEOUS,,CF - MISCELLANEOUS,TRUE,,TRUE,TRUE,,,
SOS-KIT-MIFGE-HOD,SOS MIFGE HOD,,FUNNEL BUILDER,TRUE,,TRUE,TRUE,,,
SOS-KIT-MIFGE,SOS MIFGE,,FUNNEL HACKER,TRUE,,TRUE,TRUE,,,
Magnetic Marketing MIFGE BOX New Member,MIFGE,,LINCHPIN,TRUE,,TRUE,TRUE,,,
Magnetic Marketing MIFGE BOX + Binder,MIFGE BINDER,,YOUR FIRST FUNNEL,TRUE,,TRUE,TRUE,,,
CLIFUN-KIT-YFF-XS,YOUR FIRST FUNNEL,,DIAMOND BOX NEW,TRUE,,TRUE,TRUE,UPS® Ground,,
CLIFUN-KIT-YFF-XL,YOUR FIRST FUNNEL,,MIFGE,TRUE,,TRUE,TRUE,UPS® Ground,,
CLIFUN-KIT-YFF-S,YOUR FIRST FUNNEL,,MISCELLANEOUS,FALSE,???,FALSE,FALSE,,,
CLIFUN-KIT-YFF-M,YOUR FIRST FUNNEL,,ULTIMATE SALES LETTER KIT,TRUE,,TRUE,TRUE,,,
CLIFUN-KIT-YFF-L,YOUR FIRST FUNNEL,,SOS MIFGE,TRUE,,TRUE,TRUE,,,
CLIFUN-KIT-YFF-3X,YOUR FIRST FUNNEL,,SOS MIFGE HOD,TRUE,,TRUE,TRUE,,,
CLIFUN-KIT-YFF-2X,YOUR FIRST FUNNEL,,SOS MISCELLANEOUS,TRUE,,TRUE,TRUE,UPS Next Day Air®,,
CLIFUN-KIT-FunnelBuilder-Welcome-XS,FUNNEL BUILDER,,MM MISCELLANEOUS,TRUE,,TRUE,TRUE,UPS® Ground,,
CLIFUN-KIT-FunnelBuilder-Welcome-XL,FUNNEL BUILDER,,MIFGE BINDER,TRUE,https://docs.google.com/spreadsheets/d/1FFtGRi3JSp6btJCTOD3V6QF8ACof3wiFhMI6FdnS30I/edit?usp=sharing,TRUE,TRUE,UPS 2nd Day Air®,,
CF-KIT-LINCHPIN,LINCHPIN,,IC YEARBOOK 2023,TRUE,https://docs.google.com/spreadsheets/d/1q_zv2GHrCvd8hKExqTr16lM575isoPuApJhPIkQbgTE/edit?usp=sharing,TRUE,TRUE,,,
SOS-BK-HOD-HC-E3V1,SOS MIFGE HOD,,UM MISCELLANEOUS,TRUE,https://docs.google.com/spreadsheets/d/13LlNgcPJS_NM5EFPgbzjZ3U--aNCUzNnjTADJYKOxvQ/edit?usp=sharing,TRUE,TRUE,,,
MAGMAR-KIT-DiamondNewMember-3XL,DIAMOND BOX NEW,,,,,,,,,
MAGMAR-BIND-BSBTSBinder-3in,MM MISCELLANEOUS,,,,,,,,,
CLIFUN-SHRT-FunnelHacker-U-XL,FUNNEL HACKER,,,,,,,,,
CLIFUN-KIT-FunnelBuilder-Welcome-L,FUNNEL BUILDER,,,,,,,,,
CLIFUN-KIT-COOKBOOK,FUNNEL HACKER,,,,,,,,,
SOS-MasterKey-L28,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L27,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L15,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L16,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L17,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L18,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L19,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L20,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L11,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L23,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-Binder,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L1,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L2,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L3,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L4,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L5,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L21,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L24,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L25,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L26,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L6,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L7,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L8,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L9,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L10,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L12,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L13,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L14,SOS MISCELLANEOUS,,,,,,,,,
SOS-MasterKey-L22,SOS MISCELLANEOUS,,,,,,,,,
MS-IC-Yearbook-2023-SC,IC YEARBOOK 2023,,,,,,,,,
MM-USL-Kit,ULTIMATE SALES LETTER KIT,,,,,,,,,
MM-KIT-MSS,MM MISCELLANEOUS,,,,,,,,,
MM-KIT-DKLW,ARCHIVE BOOK BUNDLE,,,,,,,,,
MAGMAR-NL-NOBS-FEB24,MM MISCELLANEOUS,,,,,,,,,
