SKU,Project Name,,Project Name Bank,,Generated March Dashboard?
RRI-60094,2024 TR Contractor Boxes,,2024 TR Contractor Boxes,,FALSE
RRI-60098-03,Life Mastery Virtual April 2024 - English Leadership no Book        ,,Life Mastery Virtual April 2024 - English Leadership no Book,,FALSE
RRI-60098-01,Life Mastery Virtual April 2024 - English no Book,,Life Mastery Virtual April 2024 - English no Book,,FALSE
RRI-60098,Life Mastery Virtual April 2024 - English with Book,,Life Mastery Virtual April 2024 - English with Book,,FALSE
RRI-60082-01,Life Mastery Virtual Sept 2023 - Spanish,,Life Mastery Virtual Sept 2023 - Spanish,,FALSE
RRI-40437,Life Mastery Virtual Sept 2023 (workbook only),,Life Mastery Virtual Sept 2023 (workbook only),,FALSE
RRI-60097,Platinum S&D March 2024,,Platinum S&D March 2024,,FALSE
RRI-60099,RRI EMPLOYEE GIFT MARCH 2024,,RRI EMPLOYEE GIFT MARCH 2024,,FALSE
RRI-60091,TR BM1 JAN 2024,,RRI PLATINUM ENROLLMENTS 2024,,FALSE
RRI-60038,TR Employee Welcome Kit,,TR 2024 CONTRACTORS GIFTS,,FALSE
RRI-40447,TR Holiday Gift Boxes 2023,,TR BM1 JAN 2024,,FALSE
RRI-40436,TR Holiday Gift Boxes 2023/ TR Mastery Enrollment Gifts Dec 2023/ TR Employee Gifts March 2024/2024 TR Contractor Boxes,,TR Employee Welcome Kit,,FALSE
RRI-60098-02,TR LMV April 2024,,TR LMV April 2024,,FALSE
RRI-20044,TR Mastery Enrollment Gifts,,TR MISCELLANEOUS,,FALSE
RRI-20005,TR MISCELLANEOUS,,TR PLATINUM BIRTHDAYS,,FALSE
RRI-60054,TR PLATINUM BIRTHDAYS,,TR Trainer & Sr Leader Shirts 2024,,FALSE
RRI-40036,TR Trainer & Sr Leader Shirts 2024,,TR UPW MARCH 2024,,FALSE
RRI-40041,TR Trainer & Sr Leader Shirts 2024,,TR UPW MARCH 2024 Spanish,,FALSE
RRI-40042,TR Trainer & Sr Leader Shirts 2024,,TR Mastery Enrollment Gifts,,
RRI-40088,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40096,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40097,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40098,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40099,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40101,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40102,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40103,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40104,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40105,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40106,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40107L,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40108,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-60053-01,TR Trainer & Sr Leader Shirts 2024,,,,
RRI-40094,TR LMV April 2024,,,,
RRI-10217,TR UPW MARCH 2024,,,,
RRI-60095,TR UPW MARCH 2024,,,,
RRI-40192,TR UPW MARCH 2024,,,,
RRI-60095-01,TR UPW MARCH 2024 Spanish,,,,
